Produto,Preço,Fornecedor,Data
"iPhone 16 Apple (128GB) Preto, Tela de 6,1"", 5G e Câmera de 48MP ",6689.5,Quero Quero,2025-05-26
"iPhone 16 Pro  Apple (128GB) Titânio Branco, Tela de 6,3"", 5G e Câmera de 48MP ",8560.0,Quero Quero,2025-05-26
"iPhone 16 Apple (128GB) Branco, Tela de 6,1"", 5G e Câmera de 48MP ",6689.5,Quero Quero,2025-05-26
"iPhone 16 Pro Max Apple (512GB) Titânio Deserto, Tela de 6,9"", 5G e Câmera de 48MP ",11900.0,Quero Quero,2025-05-26
"iPhone 16 Apple (128GB) Rosa, Tela de 6,1"", 5G e Câmera de 48MP ",6689.5,Quero Quero,2025-05-26
"iPhone 16 Pro Max Apple (1TB) Titânio Preto, Tela de 6,9"", 5G e Câmera de 48MP ",13990.0,Quero Quero,2025-05-26
"iPhone 16 Pro  Apple (128GB) Titânio Deserto, Tela de 6,3"", 5G e Câmera de 48MP ",8560.0,Quero Quero,2025-05-26
"iPhone 16 Pro  Apple (256GB) Titânio Natural, Tela de 6,3"", 5G e Câmera de 48MP ",9600.0,Quero Quero,2025-05-26
"iPhone 16 Pro Max Apple (512GB) Titânio Natural, Tela de 6,9"", 5G e Câmera de 48MP ",11900.0,Quero Quero,2025-05-26
"iPhone 16 Pro Apple (256GB) Titânio Preto, Tela de 6,3"", 5G e Câmera de 48MP ",9500.0,Quero Quero,2025-05-26
"iPhone 16 Pro Max Apple (256GB) Titânio Natural, Tela de 6,9"", 5G e Câmera de 48MP ",10370.0,Quero Quero,2025-05-26
"iPhone 16 Pro Max Apple (512GB) Titânio Branco, Tela de 6,9"", 5G e Câmera de 48MP ",11900.0,Quero Quero,2025-05-26
"iPhone 16 Pro  Apple (256GB) Titânio Deserto, Tela de 6,3"", 5G e Câmera de 48MP ",9500.0,Quero Quero,2025-05-26
"iPhone 16 Pro Max Apple (1TB) Titânio Natural, Tela de 6,9"", 5G e Câmera de 48MP ",13990.0,Quero Quero,2025-05-26
